#{"t_start": 1733170565.426464, "env_id": "None"}
r,l,t
-10.32,76,0.790855
-19.36,20,0.843195
-10.91,32,0.910335
7.982818,96,1.153208
-19.18,20,1.199608
9.100271,32,1.260478
-13.4,25,1.344327
-19.31,29,1.424504
7.50134,41,1.531415
-12.87,40,1.643906
-7.76,36,1.762488
-11.0,33,1.86855
7.186207,36,2.003154
-17.0,34,2.116726
-10.88,42,2.269179
-14.0,33,2.396768
-16.26,21,2.47054
-20.0,34,2.554989
-13.74,45,2.640726
-16.65,27,2.681123
-20.0,49,2.750865
7.984127,69,2.856764
-17.0,28,2.899415
-10.37,28,2.93849
-13.34,24,2.987152
-13.25,47,3.056342
-16.23,37,3.146454
-7.27,59,3.275238
-13.81,22,3.328562
-10.61,28,3.388814
8.0,70,3.531525
-16.35,34,3.609547
7.763636,42,3.697547
7.756757,39,3.797777
-16.92,31,3.871149
-11.0,57,4.014632
-19.72,29,4.09623
-16.59,52,4.223039
-16.71,38,4.343664
-14.0,25,4.409447
-13.69,61,4.72354
-17.0,23,4.792427
-19.68,27,4.864576
-13.38,22,4.917052
-18.26,34,5.025782
-16.28,53,5.175553
-19.04,40,5.288148
-22.44,47,5.421049
-10.77,47,5.530745
-10.55,36,5.606959
-17.0,25,5.658451
7.045977,26,5.723079
-10.02,49,5.847448
-16.67,27,5.925924
-20.0,30,6.001199
-16.64,24,6.053271
-8.0,31,6.121306
-10.09,48,6.221401
8.0,65,6.356341
-16.7,38,6.445112
-8.0,40,6.549188
-16.04,39,6.670199
-17.0,40,6.781512
-7.55,26,6.858404
-13.44,23,6.919593
-17.0,28,7.039548
7.236364,39,7.164563
-22.05,18,7.220319
-10.69,57,7.393382
7.104478,56,7.547916
-13.46,29,7.634545
7.757937,79,7.871869
-10.61,26,7.97991
-10.94,30,8.055483
-13.51,29,8.125053
-11.0,31,8.212874
-13.44,47,8.330254
-17.0,25,8.410607
-16.44,26,8.475276
-12.58,61,8.639603
-19.99,100,8.875974
-13.63,27,8.955348
